package;class;method name;;;capabilities;;
java.awt;SplashScreen;_setImageData;boolean;long,byte[] ;GUI;;
java.awt;SplashScreen;_update;void;long,int[],int,int,int,int,int ;GUI;;
java.awt;TextArea;initIDs;void; ;GUI;;
java.awt;TextField;initIDs;void; ;GUI;;
java.awt;Toolkit;initIDs;void; ;GUI;;
java.awt;TrayIcon;initIDs;void; ;GUI;;
java.awt;Window;initIDs;void; ;GUI;;
java.awt.event;InputEvent;initIDs;void; ;GUI;;
java.awt.event;KeyEvent;initIDs;void; ;GUI;;
java.awt.event;MouseEvent;initIDs;void; ;GUI;;
java.awt.image;BufferedImage;initIDs;void; ;GUI;;
java.awt.image;ColorModel;initIDs;void; ;GUI;;
java.awt.image;ComponentSampleModel;initIDs;void; ;GUI;;
java.awt.image;IndexColorModel;initIDs;void; ;GUI;;
java.awt.image;Kernel;initIDs;void; ;GUI;;
java.awt.image;Raster;initIDs;void; ;GUI;;
java.awt.image;SampleModel;initIDs;void; ;GUI;;
java.awt.image;SinglePixelPackedSampleModel;initIDs;void; ;GUI;;
sun.awt;DebugSettings;setCTracingOn;void;boolean ;GUI;;
sun.awt;DebugSettings;setCTracingOn;void;boolean,java.lang.String ;GUI;;
sun.awt;DebugSettings;setCTracingOn;void;boolean,java.lang.String,int ;GUI;;
sun.awt;DefaultMouseInfoPeer;fillPointWithCoords;int;java.awt.Point ;GUI;;
sun.awt;DefaultMouseInfoPeer;isWindowUnderMouse;boolean;java.awt.Window ;GUI;;
sun.awt;FontDescriptor;initIDs;void; ;GUI;;
sun.awt;Win32FontManager;deRegisterFontWithPlatform;void;java.lang.String ;GUI;;
sun.awt;Win32FontManager;getEUDCFontFile;java.lang.String; ;GUI;;
sun.awt;Win32FontManager;getFontPath;java.lang.String;boolean ;GUI;;
sun.awt;Win32FontManager;populateFontFileNameMap0;void;java.util.HashMap,java.util.HashMap,java.util.HashMap,java.util.Locale ;GUI;;
sun.awt;Win32FontManager;registerFontWithPlatform;void;java.lang.String ;GUI;;
sun.awt;Win32GraphicsConfig;getBounds;java.awt.Rectangle;int ;GUI;;
sun.awt;Win32GraphicsConfig;initIDs;void; ;GUI;;
sun.awt;Win32GraphicsDevice;configDisplayMode;void;int,java.awt.peer.WindowPeer,int,int,int,int ;GUI;;
sun.awt;Win32GraphicsDevice;enterFullScreenExclusive;void;int,java.awt.peer.WindowPeer ;GUI;;
sun.awt;Win32GraphicsDevice;enumDisplayModes;void;int,java.util.ArrayList ;GUI;;
sun.awt;Win32GraphicsDevice;exitFullScreenExclusive;void;int,java.awt.peer.WindowPeer ;GUI;;
sun.awt;Win32GraphicsDevice;getCurrentDisplayMode;java.awt.DisplayMode;int ;GUI;;
sun.awt;Win32GraphicsDevice;getDefaultPixIDImpl;int;int ;GUI;;
sun.awt;Win32GraphicsDevice;getMaxConfigsImpl;int;int ;GUI;;
sun.awt;Win32GraphicsDevice;initDevice;void;int ;GUI;;
sun.awt;Win32GraphicsDevice;initIDs;void; ;GUI;;
sun.awt;Win32GraphicsDevice;isPixFmtSupported;boolean;int,int ;GUI;;
sun.awt;Win32GraphicsDevice;makeColorModel;java.awt.image.ColorModel;int,boolean ;GUI;;
sun.awt.windows;ThemeReader;closeTheme;void;long ;GUI;;
sun.awt.windows;ThemeReader;getBoolean;boolean;long,int,int,int ;GUI;;
sun.awt.windows;ThemeReader;getColor;java.awt.Color;long,int,int,int ;GUI;;
sun.awt.windows;ThemeReader;getEnum;int;long,int,int,int ;GUI;;
sun.awt.windows;ThemeReader;getInt;int;long,int,int,int ;GUI;;
sun.awt.windows;ThemeReader;getPartSize;java.awt.Dimension;long,int,int ;GUI;;
sun.awt.windows;ThemeReader;getPoint;java.awt.Point;long,int,int,int ;GUI;;
sun.awt.windows;ThemeReader;getPosition;java.awt.Dimension;long,int,int,int ;GUI;;
sun.awt.windows;ThemeReader;getSysBoolean;boolean;long,int ;GUI;;
sun.awt.windows;ThemeReader;getThemeBackgroundContentMargins;java.awt.Insets;long,int,int,int,int ;GUI;;
sun.awt.windows;ThemeReader;getThemeMargins;java.awt.Insets;long,int,int,int ;GUI;;
sun.awt.windows;ThemeReader;getThemeTransitionDuration;long;long,int,int,int,int ;GUI;;
sun.awt.windows;ThemeReader;isGetThemeTransitionDurationDefined;boolean; ;GUI;;
sun.awt.windows;ThemeReader;isThemed;boolean; ;GUI;;
sun.awt.windows;ThemeReader;isThemePartDefined;boolean;long,int,int ;GUI;;
sun.awt.windows;ThemeReader;openTheme;long;java.lang.String ;GUI;;
sun.awt.windows;ThemeReader;paintBackground;void;int[],long,int,int,int,int,int,int,int ;GUI;;
sun.awt.windows;ThemeReader;setWindowTheme;void;java.lang.String ;GUI;;
sun.awt.windows;WButtonPeer;create;void;sun.awt.windows.WComponentPeer ;GUI;;
sun.awt.windows;WButtonPeer;initIDs;void; ;GUI;;
sun.awt.windows;WButtonPeer;setLabel;void;java.lang.String ;GUI;;
sun.awt.windows;WCheckboxMenuItemPeer;setState;void;boolean ;GUI;;
sun.awt.windows;WCheckboxPeer;create;void;sun.awt.windows.WComponentPeer ;GUI;;
sun.awt.windows;WCheckboxPeer;getCheckMarkSize;int; ;GUI;;
sun.awt.windows;WCheckboxPeer;setCheckboxGroup;void;java.awt.CheckboxGroup ;GUI;;
sun.awt.windows;WCheckboxPeer;setLabel;void;java.lang.String ;GUI;;
sun.awt.windows;WCheckboxPeer;setState;void;boolean ;GUI;;
sun.awt.windows;WChoicePeer;addItems;void;java.lang.String[],int ;GUI;;
sun.awt.windows;WChoicePeer;closeList;void; ;GUI;;
sun.awt.windows;WChoicePeer;create;void;sun.awt.windows.WComponentPeer ;GUI;;
sun.awt.windows;WChoicePeer;remove;void;int ;GUI;;
sun.awt.windows;WChoicePeer;removeAll;void; ;GUI;;
sun.awt.windows;WChoicePeer;reshape;void;int,int,int,int ;GUI;;
sun.awt.windows;WChoicePeer;select;void;int ;GUI;;
sun.awt.windows;WFontMetrics;bytesWidth;int;byte[],int,int ;GUI;;
sun.awt.windows;WFontMetrics;charsWidth;int;char[],int,int ;GUI;;
sun.awt.windows;WFontMetrics;init;void; ;GUI;;
sun.awt.windows;WFontMetrics;initIDs;void; ;GUI;;
sun.awt.windows;WFontMetrics;stringWidth;int;java.lang.String ;GUI;;
sun.awt.windows;WInputMethod;createNativeContext;int; ;GUI;;
sun.awt.windows;WInputMethod;destroyNativeContext;void;int ;GUI;;
sun.awt.windows;WLabelPeer;create;void;sun.awt.windows.WComponentPeer ;GUI;;
sun.awt.windows;WLabelPeer;lazyPaint;void; ;GUI;;
sun.awt.windows;WLabelPeer;setAlignment;void;int ;GUI;;
sun.awt.windows;WLabelPeer;setText;void;java.lang.String ;GUI;;
sun.awt.windows;WMenuBarPeer;addMenu;void;java.awt.Menu ;GUI;;
sun.awt.windows;WMenuBarPeer;create;void;sun.awt.windows.WFramePeer ;GUI;;
sun.awt.windows;WMenuBarPeer;delMenu;void;int ;GUI;;
